Date,IHSG,USD_IDR,Gold,SP500
2011-03-16,3531.339599609375,8775.0,1396.0,1256.8800048828125
2011-03-17,3484.074462890625,8760.5,1404.0,1273.719970703125
2011-03-18,3493.93408203125,8770.0,1415.9000244140625,1279.2099609375
2011-03-21,3518.708984375,8584.2001953125,1426.199951171875,1298.3800048828125
2011-03-22,3517.584228515625,8720.0,1427.5,1293.77001953125
2011-03-23,3556.092529296875,8721.0,1437.9000244140625,1297.5400390625
2011-03-24,3611.50048828125,8721.4501953125,1434.800048828125,1309.6600341796875
2011-03-25,3606.97265625,8710.0,1426.0999755859375,1313.800048828125
2011-03-28,3602.71875,8633.7998046875,1419.800048828125,1310.18994140625
2011-03-29,3591.375,8718.2001953125,1416.0,1319.43994140625
2011-03-30,3640.836181640625,8688.900390625,1423.800048828125,1328.260009765625
2011-03-31,3678.531005859375,8700.0,1438.9000244140625,1325.8299560546875
2011-04-01,3707.343017578125,8718.5,1428.0999755859375,1332.4100341796875
2011-04-04,3699.903076171875,8665.900390625,1432.199951171875,1332.8699951171875
2011-04-05,3685.792724609375,8645.900390625,1451.800048828125,1332.6300048828125
2011-04-06,3727.653076171875,8653.2998046875,1457.699951171875,1335.5400390625
2011-04-07,3730.437744140625,8636.7001953125,1458.5,1333.510009765625
2011-04-08,3741.665283203125,8643.099609375,1473.4000244140625,1328.1700439453125
2011-04-11,3745.692138671875,8616.7001953125,1467.4000244140625,1324.4599609375
2011-04-12,3719.088134765625,8655.400390625,1452.9000244140625,1314.1600341796875
2011-04-13,3734.267822265625,8617.099609375,1454.9000244140625,1314.4100341796875
2011-04-14,3707.8349609375,8668.5,1471.699951171875,1314.52001953125
2011-04-15,3730.36669921875,8668.5,1485.300048828125,1319.6800537109375
2011-04-18,3726.927978515625,8637.900390625,1492.300048828125,1305.1400146484375
2011-04-19,3732.504638671875,8657.7001953125,1494.5,1312.6199951171875
2011-04-20,3794.6142578125,8667.400390625,1498.300048828125,1330.3599853515625
2011-04-21,3800.93310546875,8633.599609375,1503.199951171875,1337.3800048828125
2011-04-22,3800.93310546875,8640.5,1503.199951171875,1337.3800048828125
2011-04-25,3788.392578125,8622.900390625,1508.5999755859375,1335.25
2011-04-26,3774.72412109375,8623.5,1503.0,1347.239990234375
2011-04-27,3804.78271484375,8616.400390625,1516.699951171875,1355.6600341796875
2011-04-28,3808.78076171875,8566.2998046875,1530.800048828125,1360.47998046875
2011-04-29,3819.46923828125,8553.2998046875,1556.0,1363.6099853515625
2011-05-02,3849.150146484375,8568.400390625,1556.699951171875,1361.219970703125
2011-05-03,3813.719482421875,8561.400390625,1540.0999755859375,1356.6199951171875
2011-05-04,3814.779541015625,8558.900390625,1514.9000244140625,1347.3199462890625
2011-05-05,3816.12353515625,8535.599609375,1480.9000244140625,1335.0999755859375
2011-05-06,3798.406005859375,8580.099609375,1491.199951171875,1340.199951171875
2011-05-09,3785.302734375,8618.2998046875,1502.9000244140625,1346.2900390625
2011-05-10,3800.3720703125,8522.0,1516.5999755859375,1357.1600341796875
2011-05-11,3837.992919921875,8530.900390625,1501.0999755859375,1342.0799560546875
2011-05-12,3808.561767578125,8586.2001953125,1506.5999755859375,1348.6500244140625
2011-05-13,3831.871826171875,8549.099609375,1493.4000244140625,1337.77001953125
2011-05-16,3799.078125,8553.0,1490.4000244140625,1329.469970703125
2011-05-17,3799.078125,8592.400390625,1479.800048828125,1328.97998046875
2011-05-18,3840.0595703125,8372.7001953125,1495.5999755859375,1340.6800537109375
2011-05-19,3859.659912109375,8540.900390625,1492.199951171875,1343.5999755859375
2011-05-20,3872.802001953125,8552.0,1508.800048828125,1333.27001953125
2011-05-23,3778.30712890625,8419.5,1515.300048828125,1317.3699951171875
2011-05-24,3785.7958984375,8600.0,1523.199951171875,1316.280029296875
2011-05-25,3780.01513671875,8405.7998046875,1526.5999755859375,1320.469970703125
2011-05-26,3814.66748046875,8591.9501953125,1522.800048828125,1325.68994140625
2011-05-27,3832.228759765625,8575.0,1536.300048828125,1331.0999755859375
2011-05-30,3825.98779296875,8559.9501953125,1536.300048828125,1331.0999755859375
2011-05-31,3836.81787109375,8544.4501953125,1535.9000244140625,1345.199951171875
2011-06-01,3837.61181640625,8537.900390625,1542.4000244140625,1314.550048828125
2011-06-02,3837.61181640625,8540.0,1532.0,1312.93994140625
2011-06-03,3843.870361328125,8540.099609375,1541.699951171875,1300.1600341796875
2011-06-06,3834.0517578125,8520.4501953125,1546.5,1286.1700439453125
2011-06-07,3842.80322265625,8500.0,1543.300048828125,1284.93994140625
2011-06-08,3825.671875,8515.4501953125,1538.0999755859375,1279.56005859375
2011-06-09,3806.038818359375,8490.599609375,1542.0999755859375,1289.0
2011-06-10,3787.50048828125,8520.0,1528.5999755859375,1270.97998046875
2011-06-13,3748.612060546875,8517.4501953125,1515.0,1271.8299560546875
2011-06-14,3773.1259765625,8539.4501953125,1523.800048828125,1287.8699951171875
2011-06-15,3794.103271484375,8533.9501953125,1525.5999755859375,1265.4200439453125
