Date,Actual_IHSG,Hybrid_Multivariate,Hybrid_Univariate,Single_LSTM,Error_Hybrid_Multi,Error_Hybrid_Uni
2024-04-04,7254.39892578125,7009.8623046875,7087.111053466797,7250.132920018965,244.53662109375,167.28787231445312
2024-04-05,7286.8818359375,7006.919258117676,7081.69450378418,7229.356675302566,279.9625778198242,205.1873321533203
2024-04-08,7269.442592075893,7004.907318115234,7077.667694091797,7217.095261716153,264.53527396065874,191.77489798409624
2024-04-09,7252.003348214285,7003.629127502441,7074.775543212891,7216.61328121835,248.37422071184392,177.2278050013947
2024-04-10,7234.564104352678,7002.671318054199,7072.503677368164,7220.981377290198,231.89278629847922,162.06042698451438
2024-04-11,7217.124860491072,7001.783317565918,7070.438690185547,7224.042118999016,215.3415429251536,146.68617030552468
2024-04-12,7199.685616629465,7000.797622680664,7068.275421142578,7224.902494392052,198.8879939488006,131.41019548688655
2024-04-15,7182.246372767857,6999.615180969238,7065.810317993164,7218.762091229655,182.6311917986186,116.43605477469282
2024-04-16,7164.80712890625,6998.184906005859,7062.921478271484,7208.232070785743,166.62222290039062,101.88565063476562
2024-04-17,7130.8408203125,6996.489234924316,7059.552185058594,7190.047358108073,134.3515853881836,71.28863525390625
2024-04-18,7166.81396484375,6994.4443359375,7055.486175537109,7172.867993367676,172.36962890625,111.32778930664062
2024-04-19,7087.31689453125,6992.295700073242,7051.391304016113,7142.080838704263,95.02119445800781,35.92559051513672
2024-04-22,7073.81982421875,6990.015640258789,7046.67830657959,7119.517151101507,83.80418395996094,27.141517639160156
2024-04-23,7110.81298828125,6987.209289550781,7041.179870605469,7097.350778138745,123.60369873046875,69.63311767578125
2024-04-24,7174.533203125,6984.40060043335,7035.7707443237305,7075.156262055651,190.1326026916504,138.76245880126953
2024-04-25,7155.2939453125,6982.305778503418,7031.655982971191,7058.650440228768,172.98816680908203,123.6379623413086
2024-04-26,7036.0751953125,6981.036762237549,7028.752128601074,7058.656589145816,55.03843307495117,7.323066711425781
2024-04-29,7155.7841796875,6979.58678817749,7025.282997131348,7060.812494061407,176.19739151000977,130.50118255615234
2024-04-30,7234.19677734375,6978.017475128174,7022.383827209473,7056.5671398337,256.1793022155762,211.81295013427734
2024-05-01,7175.810791015625,6977.669609069824,7021.571678161621,7060.913241702263,198.14118194580078,154.2391128540039
2024-05-02,7117.4248046875,6978.197067260742,7021.967903137207,7071.165851388607,139.2277374267578,95.45690155029297
2024-05-03,7134.72412109375,6978.546298980713,7022.167579650879,7079.1426522769325,156.1778221130371,112.5565414428711
2024-05-06,7135.89013671875,6978.54434967041,7022.0837326049805,7085.367011806709,157.34578704833984,113.80640411376953
2024-05-07,7123.61181640625,6978.4675216674805,7021.878402709961,7095.298931819343,145.14429473876953,101.73341369628906
2024-05-08,7088.794921875,6978.2744789123535,7021.445129394531,7106.350427728248,110.52044296264648,67.34979248046875
2024-05-09,7092.28369140625,6977.766128540039,7020.384750366211,7116.098826216694,114.51756286621094,71.89894104003906
